Bonny sur Loire|Loiret->47.5606119:2.8397824
Saint Firmin des Bois|Loiret->47.9653367:2.9133537
Lallmatie|Flacq->-20.190989:57.6671165
La Cambe|Calvados->49.3437531:-1.0044906
Pierreville|Manche->49.4724416:-1.7844693
Néhou|Manche->49.420917:-1.5430464
Béthisy Saint Pierre|Oise->49.3054:2.8032
Saint Loup|Nievre->47.44535:3.00265
Vaux sur Aure|Calvados->49.3034626:-0.7019732
Marly-la-Ville|Val d'Oise->49.0823913:2.5034402
Béthancourt en Valois|Oise->49.2855164:2.8773053
Laroche Saint Cydroine|Yonne->47.9642268:3.4843747
Saint Martin de Bonfossé|Manche->49.0528081:-1.1695931
Verberie|Oise->49.3094836:2.7288582
Négréville|Manche->49.4914835:-1.5478233
Octeville|Manche->49.6254784:-1.6448063
Saint Gilles|Manche->49.1043227:-1.1752596
Tournières|Calvados->49.2338889:-0.9286111
Grand Bois|Savanne->-20.4188774:57.5511401
Amiens|Somme->49.8941708:2.2956951
Belval|Manche->49.0399397:-1.363712
Brisée Verdière|Flacq->32.9315755:10.4503961
Paris|Paris->48.8566969:2.3514616
Saintines|Oise->49.3066982:2.7641135
Périgny|Calvados->48.9226051:-0.6053427
Adon|Loiret->47.7628026:2.7944176
Sommecaise|Yonne->47.84926:3.23265
Cudot|Yonne->47.9839385:3.1787579
Senan|Yonne->47.912094:3.3584674
Saint Maurice sur Aveyron|Loiret->47.8505528:2.9277483
Caen|Calvados->49.1828008:-0.3690815
Triolet|Pamplemousses->-20.0574743:57.5521877
Villeuve sur Yonne|Yonne->32.9315727:10.450413
Saint Pierre du Regard|Orne->48.8425234:-0.5470719
Cretteville|Manche->49.3426969:-1.3880533
Le Mesnil Amey|Manche->49.1061822:-1.2084634
Marchais-Beton|Yonne->47.8348092:3.0483671
Compiègne|Oise->49.4179497:2.8263171
Dieppe|Seine Maritime->49.9246182:1.0791444
Cuvilly|Oise->49.5538704:2.6957949
Triguères|Loiret->47.9411869:2.9855959
La Baleine|Manche->48.9246433:-1.3169855
Sénoville|Manche->49.4334979:-1.7808636
